FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,66718298,Not confident at all,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,14/08/2019,1875
Autistica - Work: Self Confidence,120,24641611,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,14/08/2019,1876
Autistica - Work: Self Confidence,120,67388864,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,14/08/2019,1877
Autistica - Work: Self Confidence,120,25055544,Not confident at all,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,14/08/2019,1878
Autistica - Work: Self Confidence,120,24503298,Completely confident,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,14/08/2019,1879
Autistica - Work: Self Confidence,120,43928283,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,14/08/2019,1880
Autistica - Work: Self Confidence,120,19630284,Completely confident,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,14/08/2019,1881
Autistica - Work: Self Confidence,120,87042105,Completely confident,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,14/08/2019,1882
Autistica - Work: Self Confidence,120,71593024,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,14/08/2019,1883
Autistica - Work: Self Confidence,120,31866214,Not confident at all,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,14/08/2019,1884
Autistica - Work: Self Confidence,120,97162166,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,14/08/2019,1885
Autistica - Work: Self Confidence,120,41273901,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,14/08/2019,1886
Autistica - Work: Self Confidence,120,43440948,Not confident at all,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,14/08/2019,1887
Autistica - Work: Self Confidence,120,77705205,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,14/08/2019,1888
Autistica - Work: Self Confidence,120,58358243,Not confident at all,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,14/08/2019,1889
Autistica - Work: Self Confidence,120,47815963,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,14/08/2019,1890
Autistica - Work: Self Confidence,120,69828639,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,14/08/2019,1891
Autistica - Work: Self Confidence,120,38868666,Completely confident,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,14/08/2019,1892
Autistica - Work: Self Confidence,120,72888018,Completely confident,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,14/08/2019,1893
Autistica - Work: Self Confidence,120,43522829,Completely confident,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,14/08/2019,1894
Autistica - Work: Self Confidence,120,41811454,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,14/08/2019,1895
Autistica - Work: Self Confidence,120,40690745,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,14/08/2019,1896
Autistica - Work: Self Confidence,120,25057429,Not confident at all,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,14/08/2019,1897
Autistica - Work: Self Confidence,120,39249976,Not confident at all,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,14/08/2019,1898
Autistica - Work: Self Confidence,120,63410382,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,14/08/2019,1899
Autistica - Work: Self Confidence,120,61657100,Completely confident,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,14/08/2019,1900
Autistica - Work: Self Confidence,120,22222222,Completely confident,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,30/08/2019,1901
Autistica - Work: Self Confidence,120,11111111,Completely confident,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,30/08/2019,1902
Autistica - Work: Self Confidence,120,12077101,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,30/08/2019,1903
Autistica - Work: Self Confidence,120,38961843,Not confident at all,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,30/08/2019,1904
Autistica - Work: Self Confidence,120,67611589,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,30/08/2019,1905
Autistica - Work: Self Confidence,120,32500162,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,30/08/2019,1906
Autistica - Work: Self Confidence,120,90705766,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,30/08/2019,1907
Autistica - Work: Self Confidence,120,46465154,Completely confident,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,30/08/2019,1908
Autistica - Work: Self Confidence,120,36480781,Completely confident,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,30/08/2019,1909
Autistica - Work: Self Confidence,120,86004302,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,30/08/2019,1910
Autistica - Work: Self Confidence,120,74046800,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,30/08/2019,1911
Autistica - Work: Self Confidence,120,67512682,Not confident at all,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,30/08/2019,1912
Autistica - Work: Self Confidence,120,87436666,Completely confident,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,30/08/2019,1913
Autistica - Work: Self Confidence,120,28755653,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,30/08/2019,1914
Autistica - Work: Self Confidence,120,66722819,Completely confident,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,30/08/2019,1915
Autistica - Work: Self Confidence,120,65438804,Completely confident,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,30/08/2019,1916
Autistica - Work: Self Confidence,120,15938146,Not confident at all,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,30/08/2019,1917
Autistica - Work: Self Confidence,120,37603401,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,30/08/2019,1918
Autistica - Work: Self Confidence,120,23337145,Completely confident,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,30/08/2019,1919
Autistica - Work: Self Confidence,120,99599196,Completely confident,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,30/08/2019,1920
Autistica - Work: Self Confidence,120,25718877,Completely confident,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,30/08/2019,1921
Autistica - Work: Self Confidence,120,97909632,Completely confident,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,30/08/2019,1922
Autistica - Work: Self Confidence,120,40268226,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,30/08/2019,1923
Autistica - Work: Self Confidence,120,63985686,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,30/08/2019,1924
Autistica - Work: Self Confidence,120,63237915,Not confident at all,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,30/08/2019,1925
Autistica - Work: Self Confidence,120,50544037,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,30/08/2019,1926
Autistica - Work: Self Confidence,120,14286843,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,30/08/2019,1927
Autistica - Work: Self Confidence,120,53175760,Completely confident,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,30/08/2019,1928
Autistica - Work: Self Confidence,120,56361261,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,30/08/2019,1929
Autistica - Work: Self Confidence,120,66411825,Completely confident,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,30/08/2019,1930
Autistica - Work: Self Confidence,120,34060153,Completely confident,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,30/08/2019,1931
Autistica - Work: Self Confidence,120,11168511,Completely confident,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,30/08/2019,1932
Autistica - Work: Self Confidence,120,85920205,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,30/08/2019,1933
Autistica - Work: Self Confidence,120,83766303,Not confident at all,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,30/08/2019,1934
Autistica - Work: Self Confidence,120,64793738,Not confident at all,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,30/08/2019,1935
Autistica - Work: Self Confidence,120,59096037,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,30/08/2019,1936
Autistica - Work: Self Confidence,120,77773077,Completely confident,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,30/08/2019,1937
Autistica - Work: Self Confidence,120,47375033,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,30/08/2019,1938
Autistica - Work: Self Confidence,120,39847852,Not confident at all,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,30/08/2019,1939
Autistica - Work: Self Confidence,120,68971632,Not confident at all,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,30/08/2019,1940
Autistica - Work: Self Confidence,120,22090963,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,30/08/2019,1941
Autistica - Work: Self Confidence,120,60377624,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,30/08/2019,1942
Autistica - Work: Self Confidence,120,30738880,Completely confident,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,30/08/2019,1943
Autistica - Work: Self Confidence,120,86589369,Completely confident,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,30/08/2019,1944
Autistica - Work: Self Confidence,120,66155821,Completely confident,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,30/08/2019,1945
Autistica - Work: Self Confidence,120,61677296,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,30/08/2019,1946
Autistica - Work: Self Confidence,120,56419454,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,30/08/2019,1947
Autistica - Work: Self Confidence,120,86397034,Completely confident,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,30/08/2019,1948
Autistica - Work: Self Confidence,120,41455969,Not confident at all,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,30/08/2019,1949
Autistica - Work: Self Confidence,120,23394144,Completely confident,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,30/08/2019,1950
Autistica - Work: Self Confidence,120,21326904,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,30/08/2019,1951
Autistica - Work: Self Confidence,120,44980497,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,30/08/2019,1952
Autistica - Work: Self Confidence,120,38982647,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,30/08/2019,1953
Autistica - Work: Self Confidence,120,80484260,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,30/08/2019,1954
Autistica - Work: Self Confidence,120,24052776,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,30/08/2019,1955
Autistica - Work: Self Confidence,120,70538701,Not confident at all,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,30/08/2019,1956
Autistica - Work: Self Confidence,120,89804580,Not confident at all,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,30/08/2019,1957
Autistica - Work: Self Confidence,120,17191527,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,30/08/2019,1958
Autistica - Work: Self Confidence,120,12248148,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,30/08/2019,1959
Autistica - Work: Self Confidence,120,14567809,Not confident at all,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,30/08/2019,1960
Autistica - Work: Self Confidence,120,53779464,Completely confident,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,30/08/2019,1961
Autistica - Work: Self Confidence,120,97777931,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,30/08/2019,1962
Autistica - Work: Self Confidence,120,99713717,Completely confident,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,30/08/2019,1963
